,price,brand,model,year,title_status,mileage,color,state,country
0,6300,toyota,cruiser,2008,clean vehicle,274117.0,black,new jersey, usa
1,2899,ford,se,2011,clean vehicle,190552.0,silver,tennessee, usa
2,5350,dodge,mpv,2018,clean vehicle,39590.0,silver,georgia, usa
3,25000,ford,door,2014,clean vehicle,64146.0,blue,virginia, usa
4,27700,chevrolet,1500,2018,clean vehicle,6654.0,red,florida, usa
5,5700,dodge,mpv,2018,clean vehicle,45561.0,white,texas, usa
6,7300,chevrolet,pk,2010,clean vehicle,149050.0,black,georgia, usa
7,13350,gmc,door,2017,clean vehicle,23525.0,gray,california, usa
8,14600,chevrolet,malibu,2018,clean vehicle,9371.0,silver,florida, usa
9,5250,ford,mpv,2017,clean vehicle,63418.0,black,texas, usa
10,10400,dodge,coupe,2009,clean vehicle,107856.0,orange,georgia, usa
11,12920,gmc,mpv,2017,clean vehicle,39650.0,white,california, usa
12,31900,chevrolet,1500,2018,clean vehicle,22909.0,black,tennessee, usa
13,5430,chrysler,wagon,2017,clean vehicle,138650.0,gray,texas, usa
14,20700,ford,door,2013,clean vehicle,100757.0,black,virginia, usa
15,12710,gmc,door,2017,clean vehicle,25747.0,white,california, usa
16,5200,kia,forte,2018,clean vehicle,46194.0,blue,north carolina, usa
17,16500,buick,encore,2018,clean vehicle,20002.0,red,tennessee, usa
18,5210,ford,mpv,2017,clean vehicle,35714.0,white,texas, usa
19,38100,ford,door,2013,clean vehicle,54380.0,gray,virginia, usa
20,12520,gmc,door,2017,clean vehicle,30114.0,white,california, usa
21,7300,kia,forte,2018,clean vehicle,38823.0,black,north carolina, usa
22,15000,chevrolet,door,2015,clean vehicle,61578.0,black,ohio, usa
23,6180,ford,mpv,2017,clean vehicle,46010.0,blue,texas, usa
24,20800,ford,door,2013,clean vehicle,105510.0,silver,virginia, usa
25,11900,gmc,door,2017,clean vehicle,28040.0,silver,california, usa
26,21500,kia,sorento,2020,clean vehicle,11451.0,blue,north carolina, usa
27,12000,buick,door,2014,clean vehicle,31039.0,brown,ohio, usa
28,4190,ford,doors,2017,clean vehicle,44174.0,white,texas, usa
29,13000,ford,chassis,2008,clean vehicle,93698.0,white,tennessee, usa
30,12710,gmc,door,2017,clean vehicle,26364.0,silver,california, usa
31,18500,infiniti,q70,2016,clean vehicle,71967.0,gray,new york, usa
32,29800,chevrolet,camaro,1973,clean vehicle,46226.0,red,pennsylvania, usa
33,5330,ford,mpv,2017,clean vehicle,37792.0,no_color,texas, usa
34,13000,ford,convertible,2003,clean vehicle,58817.0,gray,virginia, usa
35,11900,gmc,door,2017,clean vehicle,27965.0,black,california, usa
36,16600,mercedes-benz,vans,2016,clean vehicle,110907.0,white,new york, usa
37,19200,chevrolet,1500,2018,clean vehicle,2430.0,white,tennessee, usa
38,7320,ford,mpv,2017,clean vehicle,32366.0,gold,texas, usa
39,7000,ford,pk,2003,clean vehicle,176567.0,white,tennessee, usa
40,12710,gmc,door,2017,clean vehicle,30049.0,white,california, usa
41,16600,mercedes-benz,vans,2016,clean vehicle,97983.0,white,new york, usa
42,30500,chevrolet,1500,2018,clean vehicle,30442.0,red,tennessee, usa
43,6330,ford,mpv,2017,clean vehicle,38123.0,red,texas, usa
44,55000,ford,srw,2017,clean vehicle,15273.0,black,pennsylvania, usa
45,12520,gmc,door,2017,clean vehicle,28972.0,black,california, usa
46,16200,jeep,compass,2019,clean vehicle,30061.0,red,north carolina, usa
47,19000,chevrolet,malibu,2017,clean vehicle,18414.0,white,tennessee, usa
